Controlled_devices(W),Scope(reporting_type),PM_Setting(min),ComputerDeltaPower(W),Intervention_Setting (min),AVG_Idle_Percent,STDEV_Idle_Percent,AVGtotal_day idle percent,STDEV_total_day idle percent,AVGruntimesavedperday,STDEV_runtimesavedperday,AVGtotaldaysEstimate,STDEV_totaldaysEstimate,TotalRecordsProcessed,,,,,,,,,,,,,
No Controlled Devices,,,,,,,,,,,,,,,,,,,,,,,,,,
0,AllDays,Wildtype,0.00,5.00,0.78,0.19,0.63,0.33,851.61,469.88,0.00,0.00,118.00,,,,,,,,,,,,,
0,AllDays,Wildtype,0.00,10.00,0.78,0.19,0.63,0.33,817.95,465.08,0.00,0.00,118.00,,,,,,,,,,,,,
0,AllDays,Wildtype,0.00,15.00,0.78,0.19,0.63,0.33,799.05,460.78,0.00,0.00,118.00,,,,,,,,,,,,,
0,AllDays,Wildtype,0.00,20.00,0.78,0.19,0.63,0.33,785.34,456.94,0.00,0.00,118.00,,,,,,,,,,,,,
0,AllDays,Wildtype,0.00,25.00,0.78,0.19,0.63,0.33,772.27,453.11,0.00,0.00,118.00,,,,,,,,,,,,,
0,AllDays,Wildtype,0.00,30.00,0.78,0.19,0.63,0.33,760.39,449.24,0.00,0.00,118.00,,,,,,,,,,,,,
0,AllDays,Wildtype,0.00,35.00,0.78,0.19,0.63,0.33,749.49,445.40,0.00,0.00,118.00,,,,,,,,,,,,,
0,AllDays,Wildtype,0.00,40.00,0.78,0.19,0.63,0.33,738.83,441.59,0.00,0.00,118.00,,,,,,,,,,,,,
0,AllDays,Wildtype,0.00,45.00,0.78,0.19,0.63,0.33,728.73,437.86,0.00,0.00,118.00,,,,,,,,,,,,,
0,AllDays,Wildtype,0.00,50.00,0.78,0.19,0.63,0.33,719.16,434.20,0.00,0.00,118.00,,,,,,,,,,,,,
0,AllDays,Wildtype,0.00,55.00,0.78,0.19,0.63,0.33,709.75,430.59,0.00,0.00,118.00,,,,,,,,,,,,,
0,AllDays,Wildtype,0.00,60.00,0.78,0.19,0.63,0.33,700.73,427.00,0.00,0.00,118.00,,,,,,,,,,,,,
0,AllDays,Wildtype,0.00,120.00,0.78,0.19,0.63,0.33,610.61,386.22,0.00,0.00,118.00,,,,,,,,,,,,,
0,AllDays,Wildtype,0.00,180.00,0.78,0.19,0.63,0.33,535.43,347.48,0.00,0.00,118.00,,,,,,,,,,,,,
0,AllDays,Wildtype,0.00,240.00,0.78,0.19,0.63,0.33,468.20,310.18,0.00,0.00,118.00,,,,,,,,,,,,,
0,AllDays,Wildtype,0.00,300.00,0.78,0.19,0.63,0.33,405.38,274.95,0.00,0.00,118.00,,,,,,,,,,,,,
0,AllDays,5,0.00,5.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,AllDays,5,0.00,10.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,AllDays,5,0.00,15.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,AllDays,5,0.00,20.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,AllDays,5,0.00,25.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,AllDays,5,0.00,30.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,AllDays,5,0.00,35.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,AllDays,5,0.00,40.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,AllDays,5,0.00,45.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,AllDays,5,0.00,50.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,AllDays,5,0.00,55.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,AllDays,5,0.00,60.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,AllDays,5,0.00,120.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,AllDays,5,0.00,180.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,AllDays,5,0.00,240.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,AllDays,5,0.00,300.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
Controlled Devices (W): 1.46,,,,,,,,,,,,,,,,,,,,,,,,,,
1.46,AllDays,Wildtype,0.00,5.00,0.78,0.19,0.63,0.33,851.61,469.88,7.56,4.17,118.00,,,,,,,,,,,,,
1.46,AllDays,Wildtype,0.00,10.00,0.78,0.19,0.63,0.33,817.95,465.08,7.26,4.13,118.00,,,,,,,,,,,,,
1.46,AllDays,Wildtype,0.00,15.00,0.78,0.19,0.63,0.33,799.05,460.78,7.10,4.09,118.00,,,,,,,,,,,,,
1.46,AllDays,Wildtype,0.00,20.00,0.78,0.19,0.63,0.33,785.34,456.94,6.98,4.06,118.00,,,,,,,,,,,,,
1.46,AllDays,Wildtype,0.00,25.00,0.78,0.19,0.63,0.33,772.27,453.11,6.86,4.02,118.00,,,,,,,,,,,,,
1.46,AllDays,Wildtype,0.00,30.00,0.78,0.19,0.63,0.33,760.39,449.24,6.75,3.99,118.00,,,,,,,,,,,,,
1.46,AllDays,Wildtype,0.00,35.00,0.78,0.19,0.63,0.33,749.49,445.40,6.66,3.96,118.00,,,,,,,,,,,,,
1.46,AllDays,Wildtype,0.00,40.00,0.78,0.19,0.63,0.33,738.83,441.59,6.56,3.92,118.00,,,,,,,,,,,,,
