Controlled_devices(W),Scope(reporting_type),PM_Setting(min),ComputerDeltaPower(W),Intervention_Setting (min),AVG_Idle_Percent,STDEV_Idle_Percent,AVGtotal_day idle percent,STDEV_total_day idle percent,AVGruntimesavedperday,STDEV_runtimesavedperday,AVGtotaldaysEstimate,STDEV_totaldaysEstimate,TotalRecordsProcessed
No Controlled Devices
0,AllDays,Wildtype,1e-09,5,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,5180.619367195388,2858.434428536927,5.1806193795043624e-09,2.858434431620664e-09,118
0,AllDays,Wildtype,1e-09,10,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,4975.843984082594,2829.263420810984,4.975843968786471e-09,2.829263413749755e-09,118
0,AllDays,Wildtype,1e-09,15,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,4860.875200442843,2803.096468273168,4.860875195674344e-09,2.803096456078243e-09,118
0,AllDays,Wildtype,1e-09,20,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,4777.4887481806645,2779.7352812172976,4.77748873459439e-09,2.779735273160671e-09,118
0,AllDays,Wildtype,1e-09,25,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,4697.961855482499,2756.4475448935946,4.697961863576761e-09,2.756447557751546e-09,118
0,AllDays,Wildtype,1e-09,30,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,4625.724019210723,2732.897190903462,4.625724020245779e-09,2.7328971958724063e-09,118
0,AllDays,Wildtype,1e-09,35,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,4559.392209126914,2709.5079041637487,4.559392228234866e-09,2.709507918539394e-09,118
0,AllDays,Wildtype,1e-09,40,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,4494.527950286865,2686.3477265782158,4.494527959605956e-09,2.686347732437267e-09,118
0,AllDays,Wildtype,1e-09,45,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,4433.078044798414,2663.641578329462,4.43307802650347e-09,2.663641573392524e-09,118
0,AllDays,Wildtype,1e-09,50,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,4374.885904223232,2641.3953523720484,4.3748859339687446e-09,2.6413953817167655e-09,118
0,AllDays,Wildtype,1e-09,55,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,4317.641664048373,2619.3971317406376,4.317641652175017e-09,2.6193971266400897e-09,118
0,AllDays,Wildtype,1e-09,60,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,4262.782920788911,2597.558919936849,4.262782911890353e-09,2.5975589126469475e-09,118
0,AllDays,Wildtype,1e-09,120,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,3714.5368800830033,2349.532183893937,3.714536885465832e-09,2.3495321873887603e-09,118
0,AllDays,Wildtype,1e-09,180,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,3257.1842339543973,2113.8610020779315,3.257184231491945e-09,2.1138609959532417e-09,118
0,AllDays,Wildtype,1e-09,240,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,2848.2070354203047,1886.9508709679444,2.848207013459786e-09,1.886950849148378e-09,118
0,AllDays,Wildtype,1e-09,300,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,2466.0677104885294,1672.608229520392,2.466067706679649e-09,1.6726082229191715e-09,118
0,AllDays,5,1e-09,5,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,1e-09,10,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,1e-09,15,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,1e-09,20,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,1e-09,25,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,1e-09,30,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,1e-09,35,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,1e-09,40,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,1e-09,45,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,1e-09,50,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,1e-09,55,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,1e-09,60,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,1e-09,120,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
