"Plot Title: 10959074"
"#","Date Time, GMT-07:00","Counts, # (LGR S/N: 10959074, SEN S/N: 10959074, LBL: Motion CH1)","Counts, # (LGR S/N: 10959074, SEN S/N: 10959074, LBL: Motion CH2)","Light (LGR S/N: 20433441)","Occupancy (LGR S/N: 20433441)"
1,10/31/18 04:53:14 PM,,,1.00,0.00
2,10/31/18 04:53:22 PM,,,,1.00
3,10/31/18 04:53:23 PM,,,0.00,
4,10/31/18 04:53:46 PM,,,1.00,
5,10/31/18 04:53:47 PM,,,0.00,
6,10/31/18 04:53:52 PM,,,1.00,
7,10/31/18 04:53:53 PM,,,0.00,
8,10/31/18 04:54:00 PM,,,1.00,
9,10/31/18 04:54:01 PM,,,0.00,
10,10/31/18 04:54:02 PM,,,1.00,
11,10/31/18 05:54:11 PM,,,,0.00
12,10/31/18 05:55:07 PM,,,,1.00
13,10/31/18 06:03:28 PM,,,,0.00
14,10/31/18 06:16:18 PM,,,,1.00
15,10/31/18 06:20:14 PM,,,,0.00
16,10/31/18 06:20:17 PM,,,,1.00
17,10/31/18 06:27:28 PM,,,0.00,
18,10/31/18 06:28:26 PM,,,,0.00
19,11/01/18 08:13:36 AM,,,1.00,
20,11/01/18 11:08:33 AM,,,,1.00
21,11/01/18 11:33:17 AM,,,,0.00
22,11/01/18 11:33:40 AM,,,,1.00
23,11/01/18 11:50:04 AM,,,,0.00
24,11/01/18 01:56:32 PM,,,,1.00
25,11/01/18 01:57:37 PM,,,,0.00
26,11/01/18 01:57:57 PM,,,,1.00
27,11/01/18 02:02:26 PM,,,,0.00
28,11/01/18 02:02:34 PM,,,,1.00
29,11/01/18 02:29:46 PM,,,,0.00
30,11/01/18 02:33:43 PM,,,,1.00
31,11/01/18 02:38:24 PM,,,,0.00
32,11/01/18 02:40:20 PM,,,,1.00
33,11/01/18 03:16:28 PM,,,,0.00
34,11/01/18 04:30:33 PM,,,,1.00
35,11/01/18 04:31:41 PM,,,,0.00
36,11/01/18 04:45:40 PM,,,0.00,
37,11/01/18 05:36:01 PM,,,,1.00
38,11/01/18 05:56:22 PM,,,,0.00
39,11/01/18 05:56:28 PM,,,,1.00
40,11/01/18 06:00:12 PM,,,,0.00
41,11/02/18 08:13:04 AM,,,1.00,
42,11/02/18 10:14:07 AM,,,,1.00
43,11/02/18 10:15:21 AM,,,,0.00
44,11/02/18 10:19:32 AM,,,,1.00
45,11/02/18 10:20:35 AM,,,,0.00
46,11/02/18 10:46:49 AM,,,,1.00
47,11/02/18 10:59:04 AM,,,,0.00
48,11/02/18 10:59:28 AM,,,,1.00
49,11/02/18 11:02:20 AM,,,,0.00
50,11/02/18 11:02:57 AM,,,,1.00
51,11/02/18 11:06:08 AM,,,,0.00
52,11/02/18 11:06:54 AM,,,,1.00
53,11/02/18 11:10:37 AM,,,,0.00
54,11/02/18 11:10:43 AM,,,,1.00
55,11/02/18 11:12:34 AM,,,,0.00
56,11/02/18 11:14:04 AM,,,,1.00
57,11/02/18 11:15:18 AM,,,,0.00
58,11/02/18 11:16:51 AM,,,,1.00
59,11/02/18 11:18:28 AM,,,,0.00
60,11/02/18 11:19:47 AM,,,,1.00
61,11/02/18 11:32:19 AM,,,,0.00
62,11/02/18 11:38:59 AM,,,,1.00
63,11/02/18 11:41:03 AM,,,,0.00
64,11/02/18 11:41:42 AM,,,,1.00
65,11/02/18 11:43:40 AM,,,,0.00
66,11/02/18 11:46:21 AM,,,,1.00
67,11/02/18 11:47:25 AM,,,,0.00
68,11/02/18 11:47:55 AM,,,,1.00
69,11/02/18 11:48:59 AM,,,,0.00
70,11/02/18 11:50:10 AM,,,,1.00
71,11/02/18 11:51:46 AM,,,,0.00
72,11/02/18 11:57:04 AM,,,,1.00
73,11/02/18 12:05:25 PM,,,,0.00
74,11/02/18 12:06:05 PM,,,,1.00
75,11/02/18 12:20:14 PM,,,,0.00
76,11/02/18 12:31:29 PM,,,,1.00
77,11/02/18 12:33:16 PM,,,,0.00
78,11/02/18 12:36:35 PM,,,,1.00
79,11/02/18 12:38:22 PM,,,,0.00
80,11/02/18 12:39:30 PM,,,,1.00
81,11/02/18 12:40:41 PM,,,,0.00
82,11/02/18 12:44:11 PM,,,,1.00
83,11/02/18 01:15:51 PM,,,,0.00
84,11/02/18 01:15:56 PM,,,,1.00
85,11/02/18 01:18:33 PM,,,,0.00
86,11/02/18 02:47:02 PM,,,,1.00
87,11/02/18 03:03:10 PM,,,,0.00
88,11/02/18 03:03:31 PM,,,,1.00
89,11/02/18 03:05:09 PM,,,,0.00
90,11/02/18 03:08:40 PM,0,0,,
91,11/02/18 03:08:50 PM,0,0,,
92,11/02/18 03:09:00 PM,0,0,,
93,11/02/18 03:09:10 PM,0,0,,
94,11/02/18 03:09:20 PM,0,0,,
95,11/02/18 03:09:30 PM,0,0,,
96,11/02/18 03:09:40 PM,0,0,,
97,11/02/18 03:09:50 PM,0,0,,
98,11/02/18 03:10:00 PM,0,0,,
99,11/02/18 03:10:10 PM,0,0,,
100,11/02/18 03:10:20 PM,0,0,,
101,11/02/18 03:10:30 PM,0,0,,
102,11/02/18 03:10:40 PM,0,0,,
103,11/02/18 03:10:50 PM,0,0,,
104,11/02/18 03:11:00 PM,0,0,,
105,11/02/18 03:11:10 PM,0,0,,
106,11/02/18 03:11:20 PM,0,0,,
107,11/02/18 03:11:30 PM,0,0,,
108,11/02/18 03:11:34 PM,,,,1.00
109,11/02/18 03:11:40 PM,0,0,,
110,11/02/18 03:11:50 PM,0,0,,
111,11/02/18 03:12:00 PM,0,0,,
112,11/02/18 03:12:10 PM,0,0,,
113,11/02/18 03:12:20 PM,0,0,,
114,11/02/18 03:12:30 PM,0,0,,
115,11/02/18 03:12:40 PM,0,0,,
116,11/02/18 03:12:50 PM,0,0,,
117,11/02/18 03:12:58 PM,,,,0.00
118,11/02/18 03:13:00 PM,0,0,,
119,11/02/18 03:13:10 PM,0,0,,
120,11/02/18 03:13:20 PM,0,0,,
121,11/02/18 03:13:30 PM,0,0,,
122,11/02/18 03:13:40 PM,0,0,,
123,11/02/18 03:13:50 PM,0,0,,
124,11/02/18 03:13:57 PM,,,,1.00
125,11/02/18 03:14:00 PM,0,0,,
