Utility,DateTime,BillingPlan,Rate,VersionControl
SDGE,Jun 04 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 04 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 04 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 04 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 04 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 04 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 05 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 05 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 05 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 05 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 05 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 05 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 11 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 11 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 11 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 11 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 11 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 11 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 12 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 12 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 12 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 12 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 12 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 12 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 18 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 18 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 18 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 18 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 18 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 18 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 19 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 19 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 19 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 19 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 19 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 19 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 25 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 25 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 25 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 25 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 25 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 25 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 26 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 26 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 26 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 26 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 26 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 26 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 02 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 02 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 02 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 02 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 02 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 02 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 03 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 03 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 03 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 03 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 03 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 03 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 09 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 09 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 09 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 09 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 09 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 09 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 10 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 10 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 10 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 10 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 10 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 10 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 16 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 16 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 16 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 16 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 16 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 16 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 17 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 17 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 17 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 17 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 17 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 17 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 23 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 23 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 23 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 23 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 23 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 23 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 24 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 24 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 24 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 24 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 24 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 24 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 30 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 30 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 30 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 30 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 30 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 30 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 31 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 31 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 31 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 31 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 31 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 31 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 06 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 06 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 06 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 06 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 06 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 06 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 07 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 07 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 07 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 07 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 07 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 07 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 13 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 13 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 13 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 13 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 13 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 13 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 14 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 14 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 14 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 14 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 14 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 14 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 20 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 20 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 20 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 20 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 20 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 20 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 21 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 21 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 21 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 21 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 21 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 21 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 27 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 27 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 27 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 27 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 27 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 27 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 28 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 28 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 28 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 28 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 28 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 28 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 03 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 03 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 03 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 03 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 03 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 03 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 04 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 04 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 04 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 04 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 04 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 04 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 10 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 10 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 10 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 10 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 10 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 10 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 11 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 11 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 11 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 11 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 11 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 11 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 17 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 17 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 17 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 17 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 17 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 17 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 18 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 18 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 18 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 18 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 18 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 18 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 24 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 24 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 24 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 24 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 24 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 24 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 25 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 25 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 25 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 25 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 25 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Sep 25 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 01 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 01 2005 03:00PM,EV-TOU,$0.29 ,1
