"Plot Title: 20433441"
"#","Date Time, GMT-07:00","Light (LGR S/N: 20433441, SEN S/N: 20433441)","Occupancy (LGR S/N: 20433441, SEN S/N: 20433441)","Internal Calibration (LGR S/N: 20433441)","Host Connected (LGR S/N: 20433441)","Stopped (LGR S/N: 20433441)","End Of File (LGR S/N: 20433441)"
1,10/10/18 12:32:52 PM,1.00,0.00,Logged,,,
2,10/10/18 12:32:55 PM,,1.00,,,,
3,10/10/18 12:32:56 PM,0.00,,,,,
4,10/10/18 12:32:57 PM,1.00,,,,,
5,10/10/18 12:34:11 PM,0.00,,,,,
6,10/10/18 12:34:33 PM,1.00,,,,,
7,10/10/18 12:36:12 PM,,0.00,,,,
8,10/10/18 12:40:26 PM,,1.00,,,,
9,10/10/18 01:24:26 PM,,0.00,,,,
10,10/10/18 01:27:42 PM,,1.00,,,,
11,10/10/18 02:07:50 PM,,0.00,,,,
12,10/10/18 02:08:33 PM,,1.00,,,,
13,10/10/18 02:15:08 PM,,0.00,,,,
14,10/10/18 02:15:29 PM,,1.00,,,,
15,10/10/18 02:20:38 PM,,0.00,,,,
16,10/10/18 02:31:01 PM,,1.00,,,,
17,10/10/18 02:48:26 PM,,0.00,,,,
18,10/10/18 02:50:25 PM,,1.00,,,,
19,10/10/18 02:51:27 PM,,0.00,,,,
20,10/10/18 03:00:52 PM,,1.00,,,,
21,10/10/18 03:03:57 PM,,0.00,,,,
22,10/10/18 04:34:17 PM,,1.00,,,,
23,10/10/18 05:21:09 PM,,0.00,,,,
24,10/10/18 05:43:41 PM,,1.00,,,,
25,10/10/18 05:52:14 PM,,0.00,,,,
26,10/10/18 06:12:34 PM,,1.00,,,,
27,10/10/18 06:32:41 PM,,0.00,,,,
28,10/10/18 06:35:08 PM,,1.00,,,,
29,10/10/18 06:37:35 PM,0.00,,,,,
30,10/10/18 06:38:42 PM,,0.00,,,,
31,10/11/18 08:33:47 AM,1.00,,,,,
32,10/11/18 12:39:16 PM,,1.00,,,,
33,10/11/18 12:40:23 PM,,0.00,,,,
34,10/11/18 04:54:19 PM,,1.00,,,,
35,10/11/18 04:59:09 PM,,0.00,,,,
36,10/11/18 05:00:02 PM,,1.00,,,,
37,10/11/18 05:33:11 PM,,0.00,,,,
38,10/11/18 05:33:13 PM,,1.00,,,,
39,10/11/18 05:35:13 PM,,0.00,,,,
40,10/11/18 05:37:23 PM,0.00,,,,,
41,10/11/18 05:37:26 PM,,1.00,,,,
42,10/11/18 05:48:46 PM,,0.00,,,,
43,10/11/18 05:49:33 PM,,1.00,,,,
44,10/11/18 05:51:56 PM,,0.00,,,,
45,10/11/18 05:52:00 PM,,1.00,,,,
46,10/11/18 05:53:03 PM,,0.00,,,,
47,10/11/18 05:53:23 PM,,1.00,,,,
48,10/11/18 06:03:32 PM,,0.00,,,,
49,10/11/18 06:03:43 PM,,1.00,,,,
