[2018/6/26 13:08:49][Pwr]
[2018/6/27 16:01:05][Pwr]
[2018/6/27 17:34:18][Pwr]
[2018/6/28 15:19:24][Pwr]
[2018/7/2 11:52:01][Pwr]
[2018/7/3 15:47:26][Pwr]
[2018/9/26 15:31:27][Pwr]
[2018/9/26 15:34:08][Pwr]
[2018/9/26 15:26:00][Time set][Pwr]
[2018/10/8 13:59:33][Pwr]
[2018/10/10 2:20:26][Pwr]
[2018/10/10 2:20:43][Pwr]
[2018/10/10 12:45:23][Pwr]
[2018/10/10 12:48:01][Pwr]
[2018/10/10 12:51:23][Pwr]
[2018/10/10 2:20:26][Pwr]
[2018/10/10 2:20:43][Pwr]
[2018/10/10 12:45:23][Pwr]
[2018/10/10 12:48:01][Pwr]
[2018/10/10 12:48:34]bs
