pid,state,eventid,hashKey,submit_time,timestamp,timestampString
9991n,USER_IDLE,6,1537994612000USER_IDLE9991n,"2018-09-26 13:46:27",1537994612000,"2018-09-26 13:43:32"
9991n,USER_ACTIVE,7,1537994617000USER_ACTIVE9991n,"2018-09-26 13:46:27",1537994617000,"2018-09-26 13:43:37"
9991n,USER_IDLE,6,1537994650000USER_IDLE9991n,"2018-09-26 13:46:27",1537994650000,"2018-09-26 13:44:10"
9991n,USER_ACTIVE,7,1537994653000USER_ACTIVE9991n,"2018-09-26 13:46:27",1537994653000,"2018-09-26 13:44:13"
9991n,USER_IDLE,15,1537995109000USER_IDLE9991n,"2018-09-26 14:16:27",1537995109000,"2018-09-26 13:51:49"
9991n,USER_ACTIVE,7,1537995120000USER_ACTIVE9991n,"2018-09-26 14:16:27",1537995120000,"2018-09-26 13:52:00"
9991n,USER_IDLE,6,1537996019000USER_IDLE9991n,"2018-09-26 14:16:27",1537996019000,"2018-09-26 14:06:59"
9991n,USER_ACTIVE,7,1537996021000USER_ACTIVE9991n,"2018-09-26 14:16:27",1537996021000,"2018-09-26 14:07:01"
9991n,USER_IDLE,6,1537996921000USER_IDLE9991n,"2018-09-26 14:46:27",1537996921000,"2018-09-26 14:22:01"
9991n,USER_ACTIVE,7,1537996922000USER_ACTIVE9991n,"2018-09-26 14:46:27",1537996922000,"2018-09-26 14:22:02"
9991n,USER_IDLE,6,1537997822000USER_IDLE9991n,"2018-09-26 14:46:27",1537997822000,"2018-09-26 14:37:02"
9991n,USER_ACTIVE,7,1537997824000USER_ACTIVE9991n,"2018-09-26 14:46:27",1537997824000,"2018-09-26 14:37:04"
9991n,USER_IDLE,6,1537998724000USER_IDLE9991n,"2018-09-26 15:18:43",1537998724000,"2018-09-26 14:52:04"
9991n,USER_ACTIVE,7,1537998726000USER_ACTIVE9991n,"2018-09-26 15:18:43",1537998726000,"2018-09-26 14:52:06"
9991n,USER_IDLE,6,1537999626000USER_IDLE9991n,"2018-09-26 15:18:43",1537999626000,"2018-09-26 15:07:06"
9991n,USER_ACTIVE,7,1537999628000USER_ACTIVE9991n,"2018-09-26 15:18:43",1537999628000,"2018-09-26 15:07:08"
9991n,COMPUTER_SLEEP,111,1537999859000COMPUTER_SLEEP9991n,"2018-09-26 15:18:43",1537999859000,"2018-09-26 15:10:59"
9991n,USER_IDLE,6,1537999860000USER_IDLE9991n,"2018-09-26 15:18:43",1537999860000,"2018-09-26 15:11:00"
9991n,COMPUTER_SLEEP,42,1537999883000COMPUTER_SLEEP9991n,"2018-09-26 15:48:35",1537999883000,"2018-09-26 15:11:23"
